,_id,user_id,group_id,status,role,createdAt,updatedAt,__v
2274,62d7d84a7521d900196d78cb,61d3d860bd0873001248be31,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:26:18.803,2022-07-20 10:31:36.151,0
2275,62d7d82802fe22001a77ef7d,61c0895dbd0873001248b897,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:25:44.421,2022-07-20 10:31:40.576,0
2276,62d7d7c6091f32001a9d9738,61810c462f80fc00185341dd,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:24:06.161,2022-07-20 10:25:00.576,0
2277,62d7d7b902fe22001a77ef7c,618108022f80fc00185341d6,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:23:53.766,2022-07-20 10:25:02.358,0
2278,62d7d78e02fe22001a77ef7a,61c0542abd0873001248b887,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:23:10.830,2022-07-20 10:24:58.741,0
2279,62d7d76d091f32001a9d9737,61effb6683f28c001a7f0b1c,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:22:37.802,2022-07-20 10:25:04.551,0
2280,62d7d655091f32001a9d9735,61823bff2f80fc0018534214,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:17:57.412,2022-07-20 10:24:56.540,0
2281,62d7d5ff091f32001a9d9734,60af1564cc61290011835fa8,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:16:31.690,2022-07-20 10:16:58.680,0
2282,62d7d5bba99368001a95a8b9,62c831d8c32d9f001ae386a9,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:15:23.555,2022-07-20 10:16:54.834,0
2283,62d7d499091f32001a9d9733,61d5577bbd0873001248bff7,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:10:33.906,2022-07-20 10:10:44.920,0
2284,62d7d453c7a20b001ba17505,624bf417a3786600191a8749,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:09:23.827,2022-07-20 10:10:47.553,0
2285,62d7d42ba99368001a95a8b8,6295e423ce99b40019ac796e,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:08:43.677,2022-07-20 10:10:51.229,0
2286,62d7d42b091f32001a9d9732,618a73e6bd0873001248abac,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:08:43.225,2022-07-20 10:10:49.252,0
2287,62d7d41b091f32001a9d9731,62b6d80295b3c300192c3e3c,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:08:27.794,2022-07-20 10:10:42.574,0
2288,62d7d3ec091f32001a9d9730,6252a15f2aac9e001befe16f,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:07:40.469,2022-07-20 10:10:41.179,0
2289,62d7d3bea99368001a95a8b7,6225fc8ef3f4b700123e35c9,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:06:54.107,2022-07-20 10:10:46.205,0
2290,62d7d23347dc31001953ddab,61608b2a1df2550011f2357c,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:00:19.651,2022-07-20 10:05:05.959,0
2291,62d7d233a99368001a95a8b6,62c1b7abc32d9f001ae37f68,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:00:19.491,2022-07-20 10:05:09.669,0
2292,62d7d21da99368001a95a8b5,62b6a8e4c32d9f001ae36ccd,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 09:59:57.903,2022-07-20 10:05:11.556,0
2293,62d7d1eda99368001a95a8b4,60e01e84c428f80011b10373,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 09:59:09.521,2022-07-20 10:05:15.410,0
2294,62d7d1a2091f32001a9d972f,62789b55659b3b001a8deb7a,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 09:57:54.423,2022-07-20 10:05:07.428,0
2295,62d7cfcf091f32001a9d972e,60874e27cc61290011835bf7,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 09:50:07.617,2022-07-20 10:05:19.018,0
2296,62d7cf50091f32001a9d972d,61cec190bd0873001248bb2e,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 09:48:00.365,2022-07-20 10:05:13.498,0
2297,62d7cd63091f32001a9d972c,6077ce37cc612900118359c7,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 09:39:47.961,2022-07-20 10:05:17.234,0
2298,62d69fab091f32001a9d968c,62b65426c32d9f001ae36c85,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-19 12:12:27.600,2022-07-19 12:12:39.455,0
2299,62d69eb0091f32001a9d968b,61852ee1bd0873001248aa1f,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-19 12:08:16.429,2022-07-19 12:08:48.874,0
2300,62d699ee8fed2f0019e604cc,60d45f05d31e6a0011590084,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-19 11:47:58.389,2022-07-19 11:50:46.358,0
2301,62d6943d091f32001a9d968a,61f3e55cba55fa001ac2fde2,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-19 11:23:41.483,2022-07-19 11:28:50.526,0
2302,62d692d932a67d001ab3012e,6074f718cc61290011835943,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-19 11:17:45.984,2022-07-19 11:17:52.712,0
2303,62d68f15091f32001a9d9689,62b59449c32d9f001ae36c78,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-19 11:01:41.068,2022-07-19 11:01:49.295,0
2304,62d68eae091f32001a9d9688,60d1b7e6bebdc5001811af10,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-19 10:59:58.483,2022-07-19 11:02:02.717,0
2305,62d68e26091f32001a9d9687,6184de4f2f80fc0018534247,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-19 10:57:42.980,2022-07-19 11:02:07.698,0
2306,62d68d03091f32001a9d9686,60722b02b215bd0011ba6b73,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-19 10:52:51.226,2022-07-19 10:56:41.990,0
